ranking	entry_name	numSpectra1	totalIntensity01	numSpectr02	totalIntensity02	numColumnsProteinObserved	numSpectraProteinObserved	protein_mw	species	numSpeciesPresentR1	numPepsUniqueSharedSpecies	numSpectraSharedSpecies	totalIntensitySharedSpecies	numPepsUniqueSpecies1	numSpectraSpecies1	totalIntensitySpecies1	numPepsUniqueSpecies2	accession_number	accession_numbers	coverage_map	coverage_maps	percentCoverage	percentCoverages	numPepsUnique	scoreUnique	scoresUnique	groupNum	subgroupNum
11	Apolipoprotein A-I	46	1.32E+11	43	1.30E+11	2	89	30777.3	HUMAN	1			0.00E+00	32	89	2.62E+11	0	P02647	P02647|F8W696	0+34+30+5+49+2+53+4+18+6+62+4	0+34+30+5+49+2+53+4+18+6+62+4|0+47+49+2+53+4+18+6+62+4	79.4	79.4|74.2	32	391.74	391.74|340.69	16	16.1
12	Complement C3	132	1.27E+11	155	1.71E+11	2	287	188685.1	HUMAN	1	14	31	4.42E+10	98	256	2.53E+11	0	P01024	P01024|P01027|P01027-2	0+35+38+31+15+17+12+7+21+31+51+5+59+21+16+3+116+10+9+8+79+8+16+7+18+24+11+24+7+13+24+4+43+6+7+38+7+7+7+6+18+1+47+3+7+8+6+3+45+42+19+11+13+21+104+16+78+7+81+50+91+3+11+5+38+2+53+19	0+35+38+31+15+17+12+7+21+31+51+5+59+21+16+3+116+10+9+8+79+8+16+7+18+24+11+24+7+13+24+4+43+6+7+38+7+7+7+6+18+1+47+3+7+8+6+3+45+42+19+11+13+21+104+16+78+7+81+50+91+3+11+5+38+2+53+19|0+137+12+195+16+170+26+43+8+7+18+60+7+135+7+264+6+143+6+231+6+38+11+117|0+126+6+231+6+38+11+117	70.1	70.1|7.3|4.2	112	1305.99	1305.99|130.16|21.79	1	1.1
13	Hemopexin	50	1.27E+11	59	1.39E+11	2	109	52417.1	HUMAN	1	4	21	3.47E+10	23	88	2.31E+11	0	P02790	P02790|Q91X72	0+71+53+6+48+30+11+6+9+22+28+5+54+4+94+21	0+71+53+6+48+30+11+6+9+22+28+5+54+4+94+21|0+114+9+253+8+76	64.2	64.2|3.6	27	316.13	316.13|38.21	25	25.1
14	Hemoglobin subunit alpha	18	2.09E+11	22	2.97E+11	2	40	15314.3	HUMAN	1	5	15	3.24E+11	6	25	1.81E+11	0	P69905	P69905|G3V1N2|P01966|Q91VB8|P01942	0+17+40+4+79+2	0+17+40+4+79+2|1+25+4+79+2|0+32+25+34+9+42|0+91+9+28+12+2|0+91+9+28+12+2	83.8	83.8|93.6|23.9|14.7|14.7	11	154.66	154.66|137.71|52.08|31.11|31.11	72	72.1
15	Isoform 3 of Vitamin D-binding protein	39	7.79E+10	46	9.06E+10	2	85	56719.6	HUMAN	1			0.00E+00	34	85	1.69E+11	0	P02774-3	P02774-3|P02774|D6RF35|P02774-2|D6RBJ7	0+49+57+7+20+5+31+30+21+6+22+13+61+29+88+7+9+38	0+49+57+7+20+5+31+30+21+6+22+13+61+29+88+7+9+38|0+30+57+7+20+5+31+30+21+6+22+13+61+29+88+7+9+38|0+30+57+7+20+5+31+30+21+6+22+13+61+29+88+56|0+5+23+30+21+6+22+13+61+29+88+7+9+38|0+30+57+7+20+5+31+30+21+6+22+13+61+29+9+7	62.6	62.6|65.1|63|63.6|63.5	34	442.17	442.17|442.17|425.06|343.27|267.15	12	12.1
16	Alpha-2-macroglobulin	94	8.52E+10	113	1.02E+11	2	207	164714.3	HUMAN	1	3	8	1.92E+10	71	199	1.68E+11	0	P01023	P01023|P20742|P20742-2|Q6GQT1	0+71+37+9+18+12+24+3+30+10+23+34+34+8+32+9+16+5+7+44+76+5+9+5+104+20+31+11+28+4+14+54+17+7+9+3+40+32+50+58+11+5+12+3+39+8+41+11+30+5+68+4+31+3+82+17+24+10+62+5	0+71+37+9+18+12+24+3+30+10+23+34+34+8+32+9+16+5+7+44+76+5+9+5+104+20+31+11+28+4+14+54+17+7+9+3+40+32+50+58+11+5+12+3+39+8+41+11+30+5+68+4+31+3+82+17+24+10+62+5|0+350+6+15+7+415+17+7+9+214+19+28+11+171+8+113+13+79|0+219+6+15+7+415+17+7+9+131+19+28+11+171+8+113+13+79|0+1263+8+113+13+43+8+26	67.7	67.7|6|7|1.9	74	932.58	932.58|86.17|86.17|33.08	3	3.1
17	Apolipoprotein D	12	6.10E+10	12	8.69E+10	2	24	21560.4	HUMAN	1			0.00E+00	8	24	1.48E+11	0	P05090	P05090|F8WBT9	0+27+14+4+15+15+7+69+36+2	0+27+14+4+15+15+7+69+36+2|0+27+14+67	38	38|12.9	8	82.96	82.96|12.96	138	138.1
18	Beta-2-microglobulin form pI 5.3	10	8.21E+10	9	5.19E+10	2	19	14085.8	HUMAN	1			0.00E+00	5	19	1.34E+11	0	F5H6I0	F5H6I0|P61769	0+26+6+7+22+4+13+23+10+11	0+26+6+7+22+4+13+23+10+11|0+26+6+7+22+4+13+23+10+8	41.8	41.8|42.8	5	61.42	61.42|61.42	160	160.1
19	Complement C4-B	78	5.28E+10	93	6.81E+10	2	171	194288.4	HUMAN	1			0.00E+00	73	171	1.21E+11	0	P0C0L5	P0C0L5|F5GXS0	0+22+26+5+6+12+47+5+32+11+19+49+49+21+33+39+108+10+26+4+46+18+35+56+6+15+9+13+22+3+9+19+40+16+7+78+38+2+49+21+25+9+12+12+81+2+7+8+28+38+77+15+9+3+13+17+8+67+17+3+21+12+23+32+10+2+17+10+9+2+15+16+9+89	0+22+26+5+6+12+47+5+32+11+19+49+49+21+33+39+108+10+26+4+46+18+35+56+6+15+9+13+22+3+9+19+40+16+7+78+38+2+49+21+25+9+12+12+81+2+7+8+28+38+77+15+9+3+13+17+8+67+17+3+21+12+23+32+10+2+17+10+9+2+15+16+9+89|0+22+26+5+6+12+47+5+32+11+19+49+49+21+33+39+108+10+26+4+46+18+35+56+6+15+9+13+22+3+9+19+40+16+7+78+38+2+49+21+25+9+12+12+81+2+7+8+28+38+77+15+9+3+13+17+8+74+23+32+10+2+17+10+9+2+15+16+9+89	56.6	56.6|55.9	73	876.83	876.83|838.84	4	4.1
20	Complement C4-A	78	5.31E+10	92	6.83E+10	2	170	194379.5	HUMAN	1	10	22	1.19E+10	62	148	1.10E+11	0	P0C0L4	P0C0L4|P0C0L4-2|P01029	0+22+26+5+6+12+47+5+32+11+19+49+49+21+33+39+108+10+26+4+46+18+35+56+6+15+9+13+22+3+9+19+40+16+7+78+38+2+49+21+25+9+39+27+39+2+37+44+30+13+34+15+9+3+13+17+8+67+17+3+21+12+23+32+10+2+17+10+9+2+15+16+9+89	0+22+26+5+6+12+47+5+32+11+19+49+49+21+33+39+108+10+26+4+46+18+35+56+6+15+9+13+22+3+9+19+40+16+7+78+38+2+49+21+25+9+39+27+39+2+37+44+30+13+34+15+9+3+13+17+8+67+17+3+21+12+23+32+10+2+17+10+9+2+15+16+9+89|0+22+26+5+6+12+47+5+32+11+19+49+49+21+33+39+108+10+26+4+46+18+35+56+6+15+9+13+22+3+9+19+40+16+7+78+38+2+49+21+25+9+39+27+39+2+37+44+30+13+34+15+9+3+13+17+8+74+23+32+10+2+17+10+9+2+15+16+9+89|0+53+6+173+10+435+6+355+9+21+12+98+22+178+8+65+8+150+7+122	55.1	55.1|54.4|5	72	855.5	855.5|817.51|104.32	4	4.2
21	Alpha-2-HS-glycoprotein	14	4.54E+10	19	4.82E+10	2	33	40209.9	HUMAN	1			0.00E+00	11	33	9.35E+10	0	C9JV77	C9JV77|P02765	0+28+71+4+17+4+7+57+24+7+7+86+26+3+21+6	0+28+71+4+17+4+7+57+24+7+7+86+26+3+21+6|0+28+71+4+17+4+7+56+24+7+7+86+26+3+21+6	47	47|47.1	11	149.97	149.97|149.97	79	79.1
22	Gelsolin	43	6.88E+10	53	7.69E+10	2	96	86095.3	HUMAN	1	18	46	5.80E+10	18	50	8.77E+10	0	P06396	P06396|P06396-3|P06396-4|P06396-2|Q5T0H9|P13020|P13020-2|Q5T0H8|Q5T0H7	0+43+56+48+15+6+20+69+39+6+25+33+8+5+17+4+53+4+30+49+18+5+11+13+46+3+22+12+8+45+35+34	0+43+56+48+15+6+20+69+39+6+25+33+8+5+17+4+53+4+30+49+18+5+11+13+46+3+22+12+8+45+35+34|0+21+38+48+15+6+20+69+39+6+25+33+8+5+17+4+53+4+30+49+18+5+11+13+46+3+22+12+8+45+35+34|0+18+38+48+15+6+20+69+39+6+25+33+8+5+17+4+53+4+30+49+18+5+11+13+46+3+22+12+8+45+35+34|0+10+38+48+15+6+20+69+39+6+25+33+8+5+17+4+53+4+30+49+18+5+11+13+46+3+22+12+8+45+35+34|0+33+25+33+8+5+17+4+53+4+30+49+18+5+11+13+46+3+22+12+8+86|0+59+11+96+20+185+17+29+28+4+30+49+18+112+8+45+27+42|0+10+11+96+20+185+17+29+28+4+30+49+18+112+8+45+27+42|0+9+39+3+22+12+8+45+35+34|0+9+39+3+22+12+8+41+20+34	51.5	51.5|51.8|52|52.6|49|20.3|21.7|50.2|47.3	36	466.12	466.12|454.7|454.7|454.7|233.67|204.78|204.78|158.02|128.84	11	11.1
23	Haptoglobin	30	4.77E+10	33	5.09E+10	2	63	45889.1	HUMAN	1	4	9	1.30E+10	23	54	8.57E+10	0	P00738	P00738|H0Y300|P00738-2|J3KTC3|Q61646|H3BMJ7|J3QQI8	0+57+15+5+31+8+15+5+42+37+36+2+33+5+6+14+11+3+20+46+10+5	0+57+15+5+31+8+15+5+42+37+36+2+33+5+6+14+11+3+20+46+10+5|0+57+15+5+31+64+42+37+36+2+33+5+6+14+11+3+20+46+10+5|0+57+15+5+42+37+36+2+33+5+6+14+11+3+20+46+10+5|0+58+15+5+25+14|0+82+12+17+8+83+9+7+9+120|0+57+15+20|0+57+15+19	53.9	53.9|46.1|49.8|34.1|10.9|16.3|16.4	27	290.25	290.25|266.75|231.54|60.02|47.51|23.5|23.5	30	30.1
24	Angiotensinogen	22	3.60E+10	28	4.92E+10	2	50	53438.5	HUMAN	1			0.00E+00	16	50	8.53E+10	0	P01019	P01019	0+63+53+41+10+7+76+3+34+68+15+5+38+72	0+63+53+41+10+7+76+3+34+68+15+5+38+72	46.5	46.5	16	221.49	221.49	45	45.1
25	Apolipoprotein A-IV	40	3.65E+10	44	4.25E+10	2	84	45398.2	HUMAN	1			0.00E+00	36	84	7.90E+10	0	P06727	P06727	0+43+47+7+13+2+17+5+29+6+77+1+6+2+9+2+9+4+47+2+17+3+11+37	0+43+47+7+13+2+17+5+29+6+77+1+6+2+9+2+9+4+47+2+17+3+11+37	71.2	71.2	36	363.12	363.12	18	18.1
26	Fibrinogen alpha chain	36	3.37E+10	35	3.71E+10	2	71	95713	HUMAN	1	1	3	3.21E+09	29	68	6.76E+10	0	P02671	P02671|P02671-2|E9PV24|Q99K47	0+71+13+5+8+3+23+6+14+5+9+10+9+14+26+9+13+5+65+59+58+21+12+9+9+34+63+8+10+11+19+245	0+71+13+5+8+3+23+6+14+5+9+10+9+14+26+9+13+5+65+59+58+21+12+9+9+34+63+8+10+11+19+245|0+71+13+5+8+3+23+6+14+5+9+10+9+14+26+9+13+5+65+59+58+21+12+9+9+34+63+8+10+11+19+23|0+168+9+612|0+168+9+380	40.5	40.5|54.5|1.1|1.6	30	321.43	321.43|321.43|7.66|7.66	23	23.1
27	Ig gamma-1 chain C region	11	3.56E+10	12	3.18E+10	2	23	36618.7	HUMAN	1			0.00E+00	9	23	6.74E+10	0	P01857	P01857	0+4+26+75+33+19+14+13+19+6+8+10+11+92	0+4+26+75+33+19+14+13+19+6+8+10+11+92	33.6	33.6	9	109.76	109.76	90	90.2
28	Isoform 5 of Osteopontin	19	3.33E+10	17	3.33E+10	2	36	34013.7	HUMAN	1			0.00E+00	10	36	6.67E+10	0	P10451-5	P10451-5|P10451|P10451-2|P10451-4	0+35+28+82+9+35+38+7+20+3+19+11+13	0+35+28+82+9+35+38+7+20+3+19+11+13|0+35+16+108+9+35+38+7+20+3+19+11+13|0+35+16+94+9+35+38+7+20+3+19+11+13|0+35+16+86+9+35+38+7+20+3+19+11+13	42.3	42.3|36.6|38.3|39.3	10	150.55	150.55|143.89|143.89|143.89	78	78.1
29	Isoform C of Osteopontin	17	3.29E+10	16	3.28E+10	2	33	32525.9	HUMAN	1			0.00E+00	9	33	6.57E+10	0	P10451-3	P10451-3	0+30+20+82+9+35+38+7+20+3+19+11+13	0+30+20+82+9+35+38+7+20+3+19+11+13	41.4	41.4	9	137.99	137.99	78	78.2
30	Alpha-1-acid glycoprotein 1	13	3.22E+10	12	3.05E+10	2	25	23739.3	HUMAN	1			0.00E+00	9	25	6.27E+10	0	P02763	P02763	0+42+9+22+8+27+15+3+41+3+10+21	0+42+9+22+8+27+15+3+41+3+10+21	41.2	41.2	9	121.2	121.2	101	101.1
31	Ig gamma-3 chain C region	13	2.77E+10	15	2.44E+10	2	28	42313.2	HUMAN	1			0.00E+00	12	28	5.91E+10	0	P01860	P01860	0+4+26+71+12+35+37+21+12+13+19+6+8+10+16+87	0+4+26+71+12+35+37+21+12+13+19+6+8+10+16+87	34.4	34.4	12	140.19	140.19	90	90.1
32	Pigment epithelium-derived factor	29	2.75E+10	29	4.31E+10	2	58	46482.5	HUMAN	1	5	14	1.73E+10	17	44	5.33E+10	0	P36955	P36955|P97298|I3L1U4|E9PWS2	0+53+14+2+65+17+38+8+23+4+13+15+29+25+10+2+9+6+78+7	0+53+14+2+65+17+38+8+23+4+13+15+29+25+10+2+9+6+78+7|0+52+14+84+16+47+6+132+7+59|0+53+14+47|0+52+14+81	66.7	66.7|10.3|12.2|9.5	22	272.29	272.29|52.23|18.23|18.23	34	34.1
33	Isoform LMW of Kininogen-1	25	3.33E+10	28	2.45E+10	2	53	48966.4	HUMAN	1	1	2	4.78E+09	22	51	5.30E+10	0	P01042-2	P01042-2|P01042-3|B99909|P01044|P01045|O08677|Q6S9I3|O08677-3|D3YTY9|Q6S9I2|O08677-2|Q6S9I0	0+35+23+21+35+94+11+21+48+20+16+19+19+1+26+3+13+10+9+3	0+35+23+21+35+94+11+21+48+20+16+19+19+1+26+3+13+10+9+3|0+35+23+21+35+90+48+20+16+19+19+1+26+3+13+10+9+3|1+9|0+379+9+233|0+377+9+233|0+379+9+273|0+380+9+255|0+379+9+92|0+379+9+92|0+380+9+73|0+379+9+44|0+380+9+44	46.8	46.8|48.3|88.8|1.4|1.4|1.3|1.3|1.8|1.8|1.9|2|2	23	275.97	275.97|262.03|10.52|10.52|10.52|10.52|10.52|10.52|10.52|10.52|10.52|10.52	32	32.1
34	Dickkopf-related protein 3	20	3.92E+10	22	4.00E+10	2	42	39587.7	HUMAN	1	4	12	2.63E+10	9	30	5.30E+10	0	Q9UBP4	Q9UBP4|F6SYF8|Q9QUN9	0+52+12+2+14+100+17+15+138	0+52+12+2+14+100+17+15+138|0+52+12+2+14+100+17+15+52+42+58|0+52+12+2+14+132+12+94+8+23	51.7	51.7|42|13.1	13	169.96	169.96|148.72|43.66	62	62.1
35	Ceruloplasmin	45	2.58E+10	54	3.41E+10	2	99	123058.7	HUMAN	1	7	15	8.38E+09	34	85	5.16E+10	0	P00450	P00450|E9PFZ2|E9PZD8|G3X8Q5|Q61147|G3X9T8	0+22+40+6+30+12+18+49+24+44+35+2+25+65+23+20+6+5+55+3+39+14+21+12+68+82+12+38+8+7+36+43+37+35+21+51+23+34	0+22+40+6+30+12+18+49+24+44+35+2+25+65+23+20+6+5+55+3+39+14+21+12+68+82+12+38+8+7+36+43+37+35+21+51+23+34|0+22+40+6+30+12+18+49+24+44+35+2+25+65+23+20+6+5+55+3+39+24+11+12+49+30+12+38+8+7+36+43+37+35+21+60|0+186+14+44+13+157+6+41+6+75+11+40+21+268+14+190|0+186+14+44+13+157+6+41+6+74+11+40+21+268+14+190|0+186+14+44+13+157+6+41+6+75+11+40+21+268+14+165|0+186+14+44+13+157+6+41+6+74+11+40+21+268+14+165	48.9	48.9|49.5|7.8|7.8|8|8	40	500.08	500.08|448.25|64.05|64.05|64.05|64.05	9	9.1
36	Secretogranin-1	36	2.38E+10	41	2.84E+10	2	77	78389	HUMAN	1	1	3	1.68E+09	31	74	5.05E+10	0	P05060	P05060|P16014	0+26+32+11+48+5+31+6+19+8+16+7+7+16+22+4+19+15+32+9+28+10+16+9+19+24+16+2+8+4+13+121+11+2+52+9	0+26+32+11+48+5+31+6+19+8+16+7+7+16+22+4+19+15+32+9+28+10+16+9+19+24+16+2+8+4+13+121+11+2+52+9|0+35+12+630	57.4	57.4|1.7	32	427.49	427.49|13.86	13	13.1
37	SPARC-like protein 1	40	2.47E+10	36	2.78E+10	2	76	76062.2	HUMAN	1	4	8	2.58E+09	23	68	5.00E+10	0	Q14515	Q14515|Q14515-2|P70663	0+46+24+19+9+34+28+26+40+60+47+21+28+5+21+18+13+57+30+6+20+14+13+4+57+24	0+46+24+19+9+34+28+26+40+60+47+21+28+5+21+18+13+57+30+6+20+14+13+4+57+24|0+7+28+26+40+60+47+21+28+5+21+18+13+57+30+6+20+14+13+4+57+24|0+482+14+107+23+24	49.6	49.6|55.1|5.6	27	351.26	351.26|294.49|45.28	20	20.1
38	Chromogranin-A	21	2.47E+10	25	3.44E+10	2	46	50858.7	HUMAN	1	2	5	9.39E+09	13	41	4.97E+10	0	P10645	P10645|G5E968|P26339	0+77+11+8+31+14+74+56+47+3+10+25+17+39+6+9+28+2	0+77+11+8+31+14+74+56+47+3+10+25+17+39+6+9+28+2|0+77+11+8+22+2+47+3+10+25+17+39+6+9+28+2|0+77+11+364+9+2	49	49|46|4.3	15	210.21	210.21|134.87|15.41	50	50.1
39	Apolipoprotein A-II	14	2.69E+10	15	2.19E+10	2	29	15085.2	HUMAN	1			0.00E+00	9	29	4.88E+10	0	V9GYM3	V9GYM3|P02652|V9GYE3|V9GYS1	0+59+36+5+33	0+59+36+5+33|0+26+36+5+33|0+3+11+5+33|0+26+36+20	51.8	51.8|69|84.6|43.9	9	118.2	118.2|118.2|85.48|56.78	103	103.1
40	Isoform 3 of Plasma protease C1 inhibitor	21	2.38E+10	24	3.35E+10	2	45	55996.1	HUMAN	1	2	7	1.19E+10	16	38	4.54E+10	0	P05155-3	P05155-3|P05155|P05155-2|E9PGN7|H9KV48|P97290|A2ATR8	0+157+59+5+17+8+8+27+22+2+6+3+7+12+13+23+16+10+25+51+28+6	0+157+59+5+17+8+8+27+22+2+6+3+7+12+13+23+16+10+25+51+28+6|0+152+59+5+17+8+8+27+22+2+6+3+7+12+13+23+16+10+25+51+28+6|0+100+59+5+17+8+8+27+22+2+6+3+7+12+13+23+16+10+25+51+28+6|0+186+59+5+17+8+8+27+10+23+6+3+7+12+13+23+16+10+25+51+28+6|0+152+59+5+17+8+8+27+22+2+6+3+7+12+13+12+25+51+28+6|0+221+17+253+7+6|0+221+17+109	39.8	39.8|40.2|44.8|34.8|39.9|4.7|4.8	18	211.81	211.81|211.81|211.81|194.75|184.18|29.18|18.17	49	49.1
41	Complement factor H	47	1.79E+10	58	2.67E+10	2	105	143772.3	HUMAN	1			0.00E+00	52	105	4.46E+10	0	P08603	P08603|P08603-2|Q5TFM2|Q02985|Q02985-2|Q6NSD3	0+27+24+6+22+3+118+11+21+4+29+30+8+5+43+59+31+55+11+11+9+46+9+6+36+105+20+5+12+3+9+6+12+38+20+3+10+18+21+13+53+5+27+5+14+13+26+4+6+90+20+10+10+13+15+1	0+27+24+6+22+3+118+11+21+4+29+30+8+5+43+59+31+55+11+11+9+46+9+6+36+105+20+5+12+3+9+6+12+38+20+3+10+18+21+13+53+5+27+5+14+13+26+4+6+90+20+10+10+13+15+1|0+27+24+6+22+3+118+11+21+4+29+30+8+5+43+59+31+8|0+27+24+6+22+3+45+20+21+4+29+30+8+5+43+59+31+8|0+39+10+281|0+39+10+220|0+39+10+183	51.6	51.6|65.9|57.9|3|3.7|4.3	52	602.65	602.65|317.7|231.47|9.31|9.31|9.31	6	6.1
42	Fibrinogen gamma chain	22	2.17E+10	26	3.02E+10	2	48	52964.2	HUMAN	1	4	9	7.37E+09	16	39	4.45E+10	0	C9JC84	C9JC84|P02679|C9JEU5|P02679-2|Q8VCM7	0+31+30+27+23+2+33+7+24+19+11+23+10+6+63+81+17+54	0+31+30+27+23+2+33+7+24+19+11+23+10+6+63+81+17+54|0+31+30+27+23+2+33+7+24+11+11+23+10+6+63+81+17+54|0+31+30+27+23+2+33+7+24+19+11+23+10+6+63+81+17+38|0+31+30+27+23+2+33+7+24+11+11+23+10+6+63+81+17+38|0+30+9+94+12+7+13+72+20+179	45.7	45.7|46.5|47.4|48.2|12.3	20	250.76	250.76|250.76|250.76|250.76|53.41	41	41.1
43	Kallikrein-6	13	1.68E+10	16	2.75E+10	2	29	27539.9	HUMAN	1			0.00E+00	10	29	4.43E+10	0	Q92876	Q92876|Q92876-2|E7ETY0	0+21+9+34+10+6+31+6+12+16+42+3+42+12	0+21+9+34+10+6+31+6+12+16+42+3+42+12|0+10+12+16+42+3+42+12|0+21+9+90	59.8	59.8|70|7.5	10	149.04	149.04|96.67|11.04	80	80.1
44	Alpha-1B-glycoprotein	19	1.32E+10	22	3.05E+10	2	41	54823	HUMAN	1			0.00E+00	15	41	4.37E+10	0	P04217	P04217|P04217-2	0+62+28+4+40+10+7+34+42+21+6+7+19+44+9+58+26+5+14+11+22+4+22	0+62+28+4+40+10+7+34+42+21+6+7+19+44+9+58+26+5+14+11+22+4+22|0+22+7+34+42+21+6+7+19+44+9+58+26+5+14+11+22+4+22	47.4	47.4|44.7	15	186.84	186.84|120.56	59	59.1
45	Kininogen-1	23	2.01E+10	27	2.18E+10	2	50	73040.1	HUMAN	1			0.00E+00	22	50	4.19E+10	0	P01042	P01042	0+35+23+21+35+94+11+21+48+20+16+19+19+1+26+68+39+148	0+35+23+21+35+94+11+21+48+20+16+19+19+1+26+68+39+148	33.6	33.6	22	249.31	249.31	32	32.2
